tract,state,county,study_region,mean_commute_time,short_commute_share,job_density_2013,jobs_within_5mi,highpay_jobs_5mi,pop_density_2010,rent_2bed_2015,med_income_2016
00000000100,36,47,Brooklyn Baseline,31.59577,0.076532766,6511.6279,2633424,1680353,50441.859,989,87192
00000000200,36,47,Brooklyn Baseline,43.270557,0.31416836,26223.213,1007904,563725,13125,1280,48393
00000000301,36,47,Brooklyn Baseline,35.161991,0.13690953,6313.2534,2544446,1615940,51313.254,1847,112361
00000000501,36,47,Brooklyn Baseline,31.628864,0.15825915,18906.25,2551456,1618381,132718.75,3045,124205
00000000502,36,47,Brooklyn Baseline,31.628862,0.14465876,48189.188,2560606,1622168,67891.891,3069,100805
00000000700,36,47,Brooklyn Baseline,32.895218,0.11060835,10447.761,2422382,1527299,50134.328,2699,133472
00000000900,36,47,Brooklyn Baseline,31.83637,0.15162908,2905290.3,2442781,1533472,67290.32,3040,124719
00000001100,36,47,Brooklyn Baseline,48.679104,0,862215.44,2559926,1617634,1292.3077,2475,114844
00000001300,36,47,Brooklyn Baseline,34.015152,0.11525029,12752.213,2641858,1682047,20132.744,2261,105938
00000001500,36,47,Brooklyn Baseline,41.666668,0.031145718,10898.305,2601651,1651839,29838.982,1113,94946
00000001800,36,47,Brooklyn Baseline,52,NA,9597.6143,1044755,591035,2283.0803,NA,NA
00000002000,36,47,Brooklyn Baseline,45.572895,0.02973396,23916.668,902497,511806,27866.668,1424,61635
00000002100,36,47,Brooklyn Baseline,32.049076,0.051056337,42554.973,2693134,1715712,18869.109,3134,211071
00000002200,36,47,Brooklyn Baseline,41.316273,0.19148937,47830.77,736688,403188,35484.617,1192,42083
00000002300,36,47,Brooklyn Baseline,42.211765,0.066130474,814.28571,2676727,1703433,60671.43,423,18125
00000002901,36,47,Brooklyn Baseline,40.776203,0.051867221,2175,2614412,1658174,80450,426,21226
00000003000,36,47,Brooklyn Baseline,51.302849,0.016270338,2162.7905,662864,356879,40232.559,1427,75208
00000003100,36,47,Brooklyn Baseline,32.815487,0.37027264,5657.6577,2503595,1574420,22270.27,1422,76420
00000003300,36,47,Brooklyn Baseline,37.949825,0.015239477,112812.49,2397370,1490013,36359.375,2132,115509
00000003400,36,47,Brooklyn Baseline,43.939579,0.10650069,3296.7034,620827,331277,16741.758,1484,69042
00000003500,36,47,Brooklyn Baseline,35.531288,0.078034684000000007,72156.867,2135864,1284957,30470.588,1393,61450
00000003600,36,47,Brooklyn Baseline,50.592201,0.0836308,1979.1666,507869,248143,79250,1707,73958
00000003700,36,47,Brooklyn Baseline,30.600918,0.51973683,504538.47,2391391,1490633,6000,3408,128917
00000003800,36,47,Brooklyn Baseline,40.519188,0.090909094,1080,498134,244490,29960,1790,83056
00000003900,36,47,Brooklyn Baseline,35.423981,0.06721992,18754.098,2131067,1283951,36540.984,NA,104783
00000004100,36,47,Brooklyn Baseline,35.484524,0.12345679,16460.316,2205029,1337987,57111.109,2952,134722
00000004300,36,47,Brooklyn Baseline,33.953972,0.10380623,59671.871,2335479,1446461,46999.996,2464,125938
00000004400,36,47,Brooklyn Baseline,43.957073,0.26653308,349.39761,425059,196433,14210.844,1859,87583
00000004500,36,47,Brooklyn Baseline,34.706238,0.079062156,13242.424,2229765,1368960,50378.789,2767,136484
00000004600,36,47,Brooklyn Baseline,35.68993,0.3084833,1103.4484,338820,128539,10336.207,1677,104167
00000004700,36,47,Brooklyn Baseline,38.064213,0.099750623,1726.5624,2136383,1303102,11289.062,1828,108750
00000004900,36,47,Brooklyn Baseline,35.932281,0.12430279,56421.055,2162951,1319427,66210.531,1958,113750
00000005000,36,47,Brooklyn Baseline,41.808941,0.15592335,1755.3192,318554,118674,24212.768,1797,100551
00000005100,36,47,Brooklyn Baseline,39.132721,0.12810194,8771.4287,1887421,1119103,31014.285,2177,90815
00000005201,36,47,Brooklyn Baseline,47.864422,0.076512456,3836.3638,315515,115664,33254.547,2500,18906
00000005202,36,47,Brooklyn Baseline,46.620522,0.068126522,2035.0878,313933,115131,43526.316,2038,70375
00000005300,36,47,Brooklyn Baseline,44.109489,0.11914894,7987.4219,1407275,814661,2968.5535,1566,80625
00000005400,36,47,Brooklyn Baseline,53.65361,0.12516557,3109.3748,313660,114673,49046.871,1553,63203
00000005601,36,47,Brooklyn Baseline,50.602722,0.11268556,3565.2175,310236,113290,36304.348,1335,60927
00000005602,36,47,Brooklyn Baseline,52.067284,0.10533515,3460.3174,309063,112590,25174.604,1422,64479
00000005800,36,47,Brooklyn Baseline,44.7798,0.14726242,20386.666,322256,117975,42026.664,1565,45086
00000005900,36,47,Brooklyn Baseline,32.934784,0.1780822,11898.551,1591074,918182,10028.985,NA,66328
00000006000,36,47,Brooklyn Baseline,41.946941,0.05433901,7389.8306,333694,122562,47898.305,1589,71172
00000006200,36,47,Brooklyn Baseline,44.608288,0.067424856,8793.6504,351944,134046,45285.715,1795,57935
00000006300,36,47,Brooklyn Baseline,38.312069,0.095843934,3769.2307,1838854,1083416,48512.82,2099,108287
00000006400,36,47,Brooklyn Baseline,43.621967,0.10680825,5166.6665,451572,208735,44589.742,1381,63674
00000006500,36,47,Brooklyn Baseline,37.488182,0.061487604,4257.7319,1627706,941386,53515.461,NA,118152
00000006600,36,47,Brooklyn Baseline,50.01828,0.093822844,8237.2881,520574,252855,62084.746,1575,60818
00000006700,36,47,Brooklyn Baseline,35.795715,0.067397259,9683.334,1984569,1185145,55016.668,NA,142478
00000006800,36,47,Brooklyn Baseline,43.660042,0.16351829,8819.4443,579140,293608,67638.891,1378,41923
00000006900,36,47,Brooklyn Baseline,39.5952,0.11782631,13782.609,2167219,1315732,51260.871,2358,128989
00000007000,36,47,Brooklyn Baseline,43.905254,0.055389222,2964.9124,679006,360936,41122.809,1149,45291
00000007100,36,47,Brooklyn Baseline,38.097324,0.079679146,4538.4619,2052987,1233543,69153.852,NA,31061
00000007200,36,47,Brooklyn Baseline,46.383633,0.069199458,1280,690981,365284,77840,1374,36378
00000007400,36,47,Brooklyn Baseline,43.086273,0.058482144,3054.5454,719893,382126,99109.094,1299,40451
00000007500,36,47,Brooklyn Baseline,39.668896,0.074595936,7935.7798,1858849,1095624,40211.012,2335,136168
00000007600,36,47,Brooklyn Baseline,46.542393,0.10341463,6814.8145,827618,465041,81703.703,1320,33869
00000007700,36,47,Brooklyn Baseline,37.208012,0.052000001,8165.5635,1553712,891257,25834.438,NA,130288
00000007800,36,47,Brooklyn Baseline,41.344028,0.13763703,6867.9248,841364,468032,95622.641,1359,45071
00000008000,36,47,Brooklyn Baseline,41.394806,0.21386908,4480.769,945203,525137,80173.078,1403,57955
00000008200,36,47,Brooklyn Baseline,45.612869,0.12985903,12692.308,994485,555942,79634.617,1414,40808
00000008400,36,47,Brooklyn Baseline,38.874538,0.15966387,10967.392,1027594,571761,35858.695,NA,45096
00000008500,36,47,Brooklyn Baseline,41.993282,0.12541074,872.34045,1503059,869467,74000,414,14229
00000008600,36,47,Brooklyn Baseline,NA,NA,45.454544,961056,528024,0,NA,NA
00000008800,36,47,Brooklyn Baseline,40.859932,0.091830276,4000,995293,550862,43931.508,1381,54828
00000009000,36,47,Brooklyn Baseline,45.538376,0.083860762,4175.4385,973992,533264,52526.316,1282,38782
00000009200,36,47,Brooklyn Baseline,47.453449,0.093601272,3340.9092,897303,487416,122454.55,1134,41496
00000009400,36,47,Brooklyn Baseline,42.121788,0.063745022,4706.8965,842322,454167,100086.21,1272,42361
00000009600,36,47,Brooklyn Baseline,43.388321,0.086845465,3086.207,877927,480201,105620.7,1235,36903
00000009800,36,47,Brooklyn Baseline,44.395149,0.16937356,4896.5518,841788,460530,121103.45,1146,38197
00000010000,36,47,Brooklyn Baseline,44.278141,0.076557092,4017.2415,712099,372086,116155.17,1075,34710
00000010100,36,47,Brooklyn Baseline,40.593636,0.13869694,11725,1115494,622398,34108.336,1192,58033
00000010200,36,47,Brooklyn Baseline,42.337318,0.084369116,4508.4746,710257,372018,95288.133,1129,48397
00000010400,36,47,Brooklyn Baseline,42.052422,0.12466368,19305.084,667169,338146,100135.59,NA,38136
00000010600,36,47,Brooklyn Baseline,43.125565,0.12302577,11862.069,719115,375390,100879.31,1161,35694
00000010800,36,47,Brooklyn Baseline,44.251423,0.093886465,8275.8623,730224,378435,91034.484,1094,32059
00000011000,36,47,Brooklyn Baseline,39.507732,0.044954129,12475.41,873258,461606,40016.395,1183,53269
00000011200,36,47,Brooklyn Baseline,44.361572,0.059554413,6621.2119,759701,390494,97515.148,1081,28307
00000011400,36,47,Brooklyn Baseline,28.314545,0.37182909,139861.55,729097,378002,61169.234,1199,44558
00000011600,36,47,Brooklyn Baseline,43.167271,0.18549345,2016.129,665542,337387,77677.422,1133,32180
00000011700,36,47,Brooklyn Baseline,41.795113,0.032119915,12192.308,1337041,755015,30307.691,1804,79779
00000011800,36,47,Brooklyn Baseline,43.538151,0.090493605,24517.646,646669,326049,26505.883,1141,28586
00000011900,36,47,Brooklyn Baseline,42.025345,0.072335027,17160.785,1566167,894656,6000,NA,75682
00000012000,36,47,Brooklyn Baseline,39.821918,0.17346939,16933.332,554547,264941,16906.666,1071,50750
00000012100,36,47,Brooklyn Baseline,42.823986,0.044579536,43684.211,1432428,820326,28403.508,2137,96875
00000012200,36,47,Brooklyn Baseline,42.262268,0.052588668,4175.6758,693863,366484,72148.648,1220,37089
00000012600,36,47,Brooklyn Baseline,44.294643,0.16411825,5275.8623,624129,315594,30482.76,1297,41786
00000012700,36,47,Brooklyn Baseline,37.849674,0.052360516,9698.4121,1906970,1129065,55666.664,NA,54455
00000012801,36,47,Brooklyn Baseline,40.442131,0.12596154,4818.1816,550636,263513,48113.637,1350,50625
00000012901,36,47,Brooklyn Baseline,35.067314,0.074175827,37037.734,1924486,1140095,40735.848,2148,92143
00000012902,36,47,Brooklyn Baseline,38.911373,0.036682617,9530.6123,1854638,1084682,40081.633,NA,105625
00000013000,36,47,Brooklyn Baseline,45.962318,0.14838393,7882.3525,537524,258335,70470.586,1171,54886
00000013100,36,47,Brooklyn Baseline,42.562733,0.061859582,9283.334,1653942,951475,63800,1899,125139
00000013200,36,47,Brooklyn Baseline,46.479645,0.089309879,4116.667,489305,225530,37316.668,1278,55801
00000013300,36,47,Brooklyn Baseline,43.060059,0.093308203,11017.544,1522116,872955,65438.598,2693,134306
00000013400,36,47,Brooklyn Baseline,44.437283,0.061744966,8365.3848,485292,223629,37567.309,1503,70625
00000013500,36,47,Brooklyn Baseline,39.906075,0.07713373,7016.9492,1458933,833413,60949.152,2448,112976
00000013600,36,47,Brooklyn Baseline,43.493393,0.22988506,6614.458,472933,218378,47313.254,1464,65708
00000013700,36,47,Brooklyn Baseline,40.819294,0.057531379,17067.797,1382820,786001,51813.559,NA,102165
00000013800,36,47,Brooklyn Baseline,47.097851,0.10602911,11476.19,390785,155236,50285.715,1663,53370
00000013900,36,47,Brooklyn Baseline,42.912922,0.078958787,16724.139,1336767,752566,60017.242,1708,108750
00000014000,36,47,Brooklyn Baseline,43.461906,0.18450704,5842.1055,368140,141633,32035.088,1327,61250
00000014100,36,47,Brooklyn Baseline,41.694599,0.20525225,6999.9995,1266139,707612,47140.621,NA,86953
00000014200,36,47,Brooklyn Baseline,47.586048,0.066286527,6500,371353,143343,41320.512,1467,61168
00000014300,36,47,Brooklyn Baseline,43.654606,0.059276823,8761.9053,1212072,676782,41511.906,NA,93603
00000014500,36,47,Brooklyn Baseline,43.795185,0.07561437,9178.5713,1151271,641202,49750,1626,68936
00000014700,36,47,Brooklyn Baseline,46.038731,0.13261051,1761.9048,1157575,642159,49619.047,1862,81420
00000014800,36,47,Brooklyn Baseline,35.340813,0.33676976,2653.8462,357684,134436,23250,1617,56216
00000014900,36,47,Brooklyn Baseline,44.647804,0.094477251,5673.6841,1188013,657186,52378.949,NA,103427
00000015000,36,47,Brooklyn Baseline,47.776814,0.077235773,3750,358899,134608,30269.23,1541,70938
00000015100,36,47,Brooklyn Baseline,42.58181,0.036070243,11620.69,1284941,715616,61689.656,NA,124470
00000015200,36,47,Brooklyn Baseline,43.082169,0.13090129,17378.641,330095,122401,22417.477,NA,87944
00000015300,36,47,Brooklyn Baseline,40.740551,0.13559322,86500,1340336,753553,52431.035,2014,146458
00000015400,36,47,Brooklyn Baseline,NA,NA,70.422539,325455,119350,0,NA,NA
00000015500,36,47,Brooklyn Baseline,44.881096,0.075349301,6913.7935,1384270,785834,56413.793,2047,129464
00000015700,36,47,Brooklyn Baseline,41.451653,0.05930569,16969.23,1479494,843843,63615.387,2446,106583
00000015900,36,47,Brooklyn Baseline,41.746609,0.067192525,24350.516,1535223,877874,51917.523,2866,127759
00000016000,36,47,Brooklyn Baseline,45.49725,0.132734,15410,340507,127342,42170,1487,59872
00000016100,36,47,Brooklyn Baseline,38.030285,0.056109071,11914.286,1748837,1019532,43928.57,2106,111333
00000016200,36,47,Brooklyn Baseline,46.86945,0.12612613,4021.5054,314040,114475,22387.096,1477,71042
00000016300,36,47,Brooklyn Baseline,41.767101,0.024419297,8211.2676,1728554,1000538,42126.758,NA,86997
