zip,county,num_below_p50,pop2018,ec_zip,ec_se_zip,nbhd_ec_zip,ec_grp_mem_zip,ec_high_zip,ec_high_se_zip,nbhd_ec_high_zip,ec_grp_mem_high_zip,exposure_grp_mem_zip,exposure_grp_mem_high_zip,nbhd_exposure_zip,bias_grp_mem_zip,bias_grp_mem_high_zip,nbhd_bias_zip,nbhd_bias_high_zip,clustering_zip,support_ratio_zip,volunteering_rate_zip,civic_organizations_zip
11201,36047,3966.439802765846,62823,0.88002002,0.014880000000000001,0.78600001,1.02259,1.75485,0.0079600001,1.89793,1.79624,1.21156,1.66317,1.64893,0.15597001,-0.080009997,0.52332997,-0.15101001,0.076760001,0.61378002,0.07147,0.02798
11203,36047,14808.51647949219,75451,0.77604002,0.01106,0.92388999,0.94107002,1.24512,0.01279,1.27244,1.34352,1.00407,1.24341,0.98272997,0.062739998,-0.080509998,0.059870001,-0.29480001,0.074940003,0.83911997,0.03118,0.0084499996
11205,36047,7932.569229125977,46064,0.78127998,0.01337,0.59797001,0.90969002,1.6483099,0.01013,1.28887,1.68915,1.1257499,1.58276,1.44118,0.19192,-0.067209996,0.58508003,0.10568,0.074409999,0.76064998,0.079410002,0.0093599996
11206,36047,19731.46084594727,88349,0.73448998,0.01041,0.60772002,0.84412003,1.54308,0.0090800002,1.3566,1.6044101,1.08716,1.49423,1.25755,0.22355001,-0.073739998,0.51674002,-0.078769997,0.077950001,0.80877,0.063639998,0.0036200001
11207,36047,24729.9668302536,91972,0.71780998,0.0086500002,0.30423,0.69101,1.25336,0.01308,0.56707001,1.29538,0.79180002,1.20937,0.50037998,0.12729,-0.071120001,0.39201,-0.13327999,0.067570001,0.84707999,0.030169999,0.0044300002
11208,36047,24184.04711914063,98660,0.66650999,0.0096899997,0.57802999,0.67523003,1.05999,0.01349,0.94852,1.15396,0.81739002,1.0411201,0.69739002,0.17392001,-0.10838,0.17115,-0.3601,0.07282,0.84635001,0.021910001,0.0050900001
11209,36047,6740.664855957031,67809,0.96572,0.01746,1.2019399,1.1898201,1.59174,0.01271,1.70319,1.69174,1.26861,1.5217299,1.41861,0.062109999,-0.11172,0.15273,-0.20061,0.07705,0.8757,0.0814,0.0070799999
11210,36047,11633.88827133179,67040,0.82625002,0.01331,0.99440002,0.97197998,1.33698,0.01356,1.39072,1.47173,1.10422,1.3697701,1.09904,0.11976,-0.074429996,0.095210001,-0.26539999,0.077760004,0.82954001,0.040259998,0.01037
11211,36047,24984.64647674561,102624,0.95236999,0.0142,0.96644998,1.0893199,1.75749,0.0066200001,1.88076,1.79519,1.3350101,1.66316,1.72045,0.18403,-0.079379998,0.43825999,-0.093180001,0.079460002,0.71789998,0.068659998,0.00367
11212,36047,24898.12096643448,76527,0.70480001,0.0078999996,0.17783999,0.47821999,1.08425,0.01619,0.32605001,1.0257699,0.62927997,0.94897002,0.25488001,0.24005,-0.080930002,0.30224001,-0.27924001,0.068539999,0.90121001,0.018130001,0.00242
11213,36047,16781.67628479004,66295,0.78153998,0.01096,0.82871002,0.90561998,1.40812,0.01125,1.31466,1.51626,1.03835,1.37349,1.16901,0.12783,-0.10394,0.2911,-0.12459,0.076619998,0.85219997,0.061889999,0.0078600002
11214,36047,11198.14635968208,92946,0.79708999,0.016349999,0.73602998,0.86088002,1.49266,0.01736,1.57451,1.5469199,1.14676,1.40904,1.1423301,0.24929,-0.097850002,0.35567999,-0.37832999,0.083509997,0.83881003,0.038309999,0.00321
11215,36047,6133.903537750244,70156,1.03,0.02063,1.06849,1.2187999,1.77237,0.0081399996,1.89314,1.81022,1.32929,1.66453,1.76184,0.083120003,-0.087530002,0.39353999,-0.074519999,0.07333,0.59446001,0.11368,0.0081599997
11216,36047,13193.65647888184,56308,0.81022,0.01242,0.67758,0.87169999,1.61874,0.00813,1.6179399,1.68195,1.14101,1.55553,1.51408,0.23603,-0.081270002,0.55247998,-0.06859,0.075560004,0.71713001,0.10086,0.0081799999
11217,36047,4539.883383750916,41407,0.83971,0.016000001,0.79078001,0.90107,1.75225,0.0080599999,1.7565399,1.78713,1.19282,1.66114,1.67134,0.24459,-0.075850002,0.52686,-0.050969999,0.071249999,0.61962998,0.095579997,0.0091800001
11218,36047,14738.08372116089,74508,0.75493002,0.016869999,0.58886999,0.7615,1.58851,0.01342,1.47474,1.65282,1.18618,1.53923,1.25626,0.35802001,-0.073789999,0.53125,-0.17392001,0.079020001,0.81849003,0.087789997,0.00346
11219,36047,19994.51855039597,90036,0.70204002,0.01733,0.62461001,0.75392002,1.41895,0.019920001,1.41072,1.6113501,1.05889,1.42355,0.96894002,0.28801,-0.13191999,0.35536999,-0.45594001,0.085479997,0.72267002,0.03579,0.0057199998
11220,36047,20036.61790084839,95643,0.60855001,0.01451,0.44308001,0.59306997,1.4293801,0.01719,1.1625,1.50034,0.96100003,1.39051,0.87537998,0.38286,-0.078979999,0.49384001,-0.32800999,0.077079996,0.82143003,0.041839998,0.0056500002
11221,36047,21015.02516698837,83835,0.75072998,0.01075,0.66593999,0.84860998,1.51096,0.00868,1.51196,1.58913,1.10065,1.46316,1.3011301,0.22899,-0.086089998,0.48818001,-0.16204,0.077660002,0.73904997,0.071910001,0.0048500001
11222,36047,5508.744541168213,36492,1.10111,0.02039,1.35238,1.32961,1.76943,0.0074399998,1.84856,1.7999099,1.3881299,1.65334,1.7798001,0.042160001,-0.088650003,0.24015,-0.038630001,0.075759999,0.67514002,0.080239996,0.00538
11223,36047,11460.15393710136,81789,0.82950997,0.016240001,0.86334997,0.97599,1.50737,0.01639,1.60098,1.65219,1.14231,1.4103,1.13112,0.14560001,-0.17151999,0.23672999,-0.4154,0.097560003,0.91034001,0.037160002,0.0057600001
11224,36047,9615.651168823242,46707,0.77038002,0.01275,0.62911999,0.80725998,1.3623,0.01709,1.27141,1.40916,1.0022399,1.27562,0.92883998,0.19453999,-0.10468,0.32268,-0.36881,0.075709999,0.94862002,0.032559998,0.0054500001
11225,36047,13826.8943939209,58882,0.87625003,0.01329,0.87361997,0.99594998,1.5650899,0.0098799998,1.41466,1.59271,1.16491,1.5112799,1.38833,0.14505,-0.053879999,0.37074,-0.018959999,0.07824,0.77099001,0.088009998,0.00997
11226,36047,26075.83952331543,100277,0.75531,0.01083,0.78799999,0.89515001,1.428,0.01031,1.29065,1.53588,1.10324,1.41497,1.14685,0.18862,-0.085450001,0.31290001,-0.12538999,0.072329998,0.82736999,0.066229999,0.00391
11228,36047,3666.387926101685,44994,0.91706002,0.02104,1.2939399,1.12454,1.60815,0.01599,1.72091,1.69515,1.23518,1.5032099,1.29776,0.089570001,-0.12768,0.0029500001,-0.32606,0.081720002,0.87285,0.050670002,0.0072400002
11229,36047,10029.37479019165,83615,0.92666,0.016109999,1.03242,1.0761499,1.5328799,0.01523,1.6184,1.63929,1.19613,1.44776,1.24226,0.1003,-0.13229001,0.16892,-0.30278999,0.088940002,0.90487999,0.043930002,0.00397
11230,36047,14174.91146850586,89075,0.88208002,0.01692,0.92000002,1.0356801,1.50038,0.01519,1.51682,1.6076699,1.1816601,1.4692301,1.20224,0.12353,-0.094219998,0.23476,-0.26166999,0.092660002,0.85626,0.059220001,0.0087799998
11231,36047,4652.722290039063,37845,0.79536998,0.017410001,0.73413998,0.89117002,1.71822,0.01026,1.48937,1.75459,1.2696,1.64098,1.58216,0.29807001,-0.069239996,0.53599,0.058639999,0.07158,0.83582002,0.089230001,0.0096199997
11232,36047,5817.812632799149,27602,0.62026,0.017000001,0.48704001,0.79931998,1.517,0.01598,1.04386,1.5976,1.07152,1.50161,1.06991,0.25404,-0.063929997,0.54479003,0.024350001,0.071610004,0.66487998,0.063560002,0.01567
