zip,area,pop2018,ec_zip,nbhd_bias_zip
11201,Brooklyn,62823,0.88002002,0.52332997
11203,Brooklyn,75451,0.77604002,0.059870001
11205,Brooklyn,46064,0.78127998,0.58508003
11206,Brooklyn,88349,0.73448998,0.51674002
11207,Brooklyn,91972,0.71780998,0.39201
11208,Brooklyn,98660,0.66650999,0.17115
11209,Brooklyn,67809,0.96572,0.15273
11210,Brooklyn,67040,0.82625002,0.095210001
11211,Brooklyn,102624,0.95236999,0.43825999
11212,Brooklyn,76527,0.70480001,0.30224001
11213,Brooklyn,66295,0.78153998,0.2911
11214,Brooklyn,92946,0.79708999,0.35567999
11215,Brooklyn,70156,1.03,0.39353999
11216,Brooklyn,56308,0.81022,0.55247998
11217,Brooklyn,41407,0.83971,0.52686
11218,Brooklyn,74508,0.75493002,0.53125
11219,Brooklyn,90036,0.70204002,0.35536999
11220,Brooklyn,95643,0.60855001,0.49384001
11221,Brooklyn,83835,0.75072998,0.48818001
11222,Brooklyn,36492,1.10111,0.24015
11223,Brooklyn,81789,0.82950997,0.23672999
11224,Brooklyn,46707,0.77038002,0.32268
11225,Brooklyn,58882,0.87625003,0.37074
11226,Brooklyn,100277,0.75531,0.31290001
11228,Brooklyn,44994,0.91706002,0.0029500001
11229,Brooklyn,83615,0.92666,0.16892
11230,Brooklyn,89075,0.88208002,0.23476
11231,Brooklyn,37845,0.79536998,0.53599
11232,Brooklyn,27602,0.62026,0.54479003
11233,Brooklyn,76819,0.74489999,0.34343001
11234,Brooklyn,95666,0.8951,0.06095
11235,Brooklyn,78128,0.94300997,0.18359999
11236,Brooklyn,100331,0.75795001,0.00136
11237,Brooklyn,49310,0.65065002,0.61839002
11238,Brooklyn,54540,0.90987003,0.50184
10026,Harlem,39363,0.74800003,0.39761999
10027,Harlem,64548,0.78485,0.38608
10029,Harlem,79597,0.88010001,0.43557999
10030,Harlem,29882,0.67477,0.33116999
10031,Harlem,60254,0.74668002,0.31459999
10035,Harlem,35743,0.72060001,0.39825001
10037,Harlem,21139,0.77882999,0.41824001
10039,Harlem,27726,0.70666999,0.23648
